Tray,ID,POS,plant id,Density,Final_Density,age_number,age,F_LF,yield,flower_number_1,D2Flowering,flower_node,pollen_avg,ff_height,ff_node,,auxnode,main_node_number,total_node_number,prop_early_growth,lowervolume,midrvolume,upvolume,Huber_Volume,Smalian_Volume,Newton_Volume,final_height,veg_weight,repro_weight,total_weight,leaf_area,flower_area,corolla,petal
5,MB,B3,n1,Interrmediate,3,15,2.M,,0.00084,3,,,,7.2,3,0,0,4,4,35.37514654,0.006730621,0.006600088,0.001346957,0.016028785,0.020915528,0.017657699,8.5,0.013,0.002,0.015,,,,
5,MB,B3,n2,Interrmediate,3,15,2.M,LF,0.00042,2,,,,6.4,3,0,0,3,3,,,,,0,,,6.4,0.005,0.001,0.006,,,,
5,MB,D1,none,LOW,1,15,2.M,,0.0231,14,,,,8.2,3,1.098612289,2,8,10,67.64356007,0.068285993,0.023758274,0.000418146,0.173910568,0.142326397,0.163382511,18.3,0.082,0.055,0.137,,,,
5,MB,D3,none,LOW,1,15,2.M,,0.00672,4,,,,11.1,4,0,0,5,5,59.80300188,0.040856378,0.015836755,0.001939618,0.049093941,0.059251644,0.052479842,12.4,0.027,0.016,0.043,,,,
5,MB,D6,none,LOW,1,15,2.M,,0.00168,4,,,,5,2,0,0,3,3,,,,,0,,,8.3,0.013,0.004,0.017,,,,
5,SJER,A4,n4,Interrmediate,4,15,2.M,F,0.01092,8,,,,5.2,2,0,0,5,5,69.23076923,0.018035475,0.003469886,0.000804247,0.016308465,0.027999028,0.020205319,9.4,0.021,0.026,0.047,,,,
5,SJER,A4,n1,Interrmediate,4,15,2.M,,0.00042,2,,,,4,3,0,0,3,3,,,,,0,,,4,0.003,0.001,0.004,,,,
5,SJER,A4,n3,Interrmediate,4,15,2.M,,0.00042,2,,,,3.5,3,0,0,3,3,,,,,0,,,3.5,0.002,0.001,0.003,,,,
5,SJER,A4,n2,Interrmediate,4,15,2.M,LF,0,1,,,,3.2,3,0,0,3,3,,,,,0,,,3.2,0.001,0,0.001,,,,
5,SJER,A6,none,LOW,1,15,2.M,,0.02436,9,,,,10.2,2,0,0,6,6,75.03223034,0.212826386,0.024808744,0.00654621,0.148852461,0.343102861,0.213602595,21,0.114,0.058,0.172,,,,
5,SJER,B1,none,LOW,1,15,2.M,,0.01764,11,,,,12.2,4,1.386294361,3,7,10,62.53943218,0.075984067,0.021504184,0.002886336,0.086876902,0.12778488,0.100512894,20.2,0.062,0.042,0.104,,,,
5,SJER,B7,none,LOW,1,15,2.M,,0.0084,4,,,,11.2,3,0,0,4,4,65.47878585,0.084024416,0.021287414,0.004968189,0.079067537,0.114813334,0.090982803,13,0.041,0.02,0.061,,,,
5,SJER,C1,n3,Interrmediate,4,15,2.M,F,0.03864,22,,,,12.2,3,1.945910149,6,8,14,65.97280255,0.113900545,0.024998496,0.001060287,0.129403977,0.298462674,0.185756876,26.4,0.16,0.092,0.252,,,,
5,SJER,C1,n4,Interrmediate,4,15,2.M,,0.02016,15,,,,11.2,3,1.386294361,3,8,11,68.02030457,0.134711379,0.03870753,0.002827431,0.206117599,0.244242915,0.218826038,21.3,0.094,0.048,0.142,,,,
5,SJER,C1,n1,Interrmediate,4,15,2.M,,0.00042,2,,,,5,3,0,0,3,3,,,,,0,,,5,0.003,0.001,0.004,,,,
5,SJER,C1,n2,Interrmediate,4,15,2.M,LF,0,1,,,,3.2,3,0,0,3,3,,,,,0,,,3.2,0.001,0,0.001,,,,
5,SJER,C3,n3,Interrmediate,3,15,2.M,F,0.0105,11,,,,14.2,3,0.693147181,1,5,6,47.18916701,0.132952089,0.072206933,0.013571669,0.183525954,0.2892952,0.21878237,18.3,0.061,0.025,0.086,,,,
5,SJER,C3,n1,Interrmediate,3,15,2.M,,0.00924,6,,,,9.5,3,0,0,6,6,69.92632284,0.057068867,0.013253583,0.001290251,0.058315764,0.076847218,0.064492916,13.2,0.028,0.022,0.05,,,,
5,SJER,C3,n2,Interrmediate,3,15,2.M,LF,0.00252,3,,,,7.5,4,0,0,4,4,16.77852349,0.007853975,0.035315399,0.005772672,0.077901615,0.043884085,0.066562438,7.5,0.018,0.006,0.024,,,,
5,SJER,C4,n4,HIGH,5,15,2.M,F,0.0168,8,,,,8.3,2,0,0,6,6,61.65761646,0.136400534,0.063907323,0.002733969,0.240347107,0.199748026,0.22681408,17.3,0.093,0.04,0.133,,,,
5,SJER,C4,n3,HIGH,5,15,2.M,,0.00756,4,,,,12.3,3,0,0,4,4,54.25506929,0.068579339,0.032695705,0.003822373,0.080253095,0.095383385,0.085296525,13.5,0.039,0.018,0.057,,,,
5,SJER,C4,n5,HIGH,5,15,2.M,,0.00126,3,,,,6.2,3,0,0,4,4,69.45441493,0.0261396,0.010053088,0.000272376,0.03769908,0.025187698,0.033528619,7.5,0.006,0.003,0.009,,,,
5,SJER,C4,n1,HIGH,5,15,2.M,,0.00084,3,,,,5.4,3,0,0,4,4,70.43167803,0.010566738,0.002736953,0.000158886,0.011099866,0.011848075,0.011349269,7.3,0.004,0.002,0.006,,,,
5,SJER,C4,n2,HIGH,5,15,2.M,LF,0,1,,,,4,3,0,0,3,3,,,,,0,,,4,0.002,0,0.002,,,,
5,SJER,D2,n2,Interrmediate,2,15,2.M,F,0.00714,8,,,,5.2,2,0,0,6,6,57.19001444,0.014369004,0.007127482,0.000834485,0.033974332,0.027971264,0.03197331,14.3,0.028,0.017,0.045,,,,
5,SJER,D2,n1,Interrmediate,2,15,2.M,LF,0.00588,5,,,,6.4,2,0,0,4,4,47.64084507,0.017427342,0.008246674,0.002608462,0.022383829,0.036566223,0.027111293,11.4,0.023,0.014,0.037,,,,
6,BS,B4,n2,Interrmediate,2,15,2.M,F,0.0525,33,,,,17,3,2.397895273,10,13,23,65.13157895,0.128294682,0.032986695,0.004751655,0.259181175,0.392011527,0.303457959,33,0.246,0.125,0.371,,,,
6,BS,B4,n1,Interrmediate,2,15,2.M,LF,0.00168,4,,,,9.7,3,0,0,4,4,62.35294118,0.012133999,0.00628318,0.000502654,0.022187479,0.019564919,0.021313293,11.3,0.008,0.004,0.012,,,,
6,BS,D4,none,LOW,1,15,2.M,,0.00588,5,,,,11,3,0,0,5,5,69.58581959,0.075984067,0.01720209,0.00242892,0.06546351,0.091959876,0.074295632,13.7,0.037,0.014,0.051,,,,
6,IS,A2,none,LOW,1,15,2.M,,0.00504,10,,,,7,3,0.693147181,1,6,7,74.17274733,0.031926644,0.004412363,0.001197417,0.024267997,0.042065105,0.030200366,11,0.025,0.012,0.037,,,,
6,IS,A3,n2,Interrmediate,2,15,2.M,,0.00336,8,,,,7.2,3,0,0,6,6,82.29007634,0.016298176,0.001633627,9.42E-05,0.011686715,0.023114131,0.015495853,9.3,0.015,0.008,0.023,,,,
6,IS,A3,n1,Interrmediate,2,15,2.M,LF,0.00336,5,,,,7.1,3,0,0,5,5,74.87922705,0.027171612,0.004825482,0.0008143,0.028631195,0.034757963,0.030673451,8.9,0.014,0.008,0.022,,,,
6,IS,C8,none,LOW,1,15,2.M,,0.00294,5,,,,3.3,3,0,0,5,5,47.85714286,0.003525649,0.001256636,0.000855298,0.00628318,0.010952368,0.007839576,5,0.013,0.007,0.02,,,,
6,IS,C9,n1,Interrmediate,2,15,2.M,F,0.00462,7,,,,4.2,3,0,0,7,7,60.64308682,0.012146329,0.00394081,0.001056203,0.019211451,0.025744937,0.02138928,7.8,0.02,0.011,0.031,,,,
6,IS,C9,n2,Interrmediate,2,15,2.M,LF,0.00378,7,,,,4.3,3,0,0,7,7,62.5488663,0.010053088,0.002825232,0.000304106,0.012464258,0.020275036,0.015067851,7.5,0.017,0.009,0.026,,,,
6,IS,D6,none,LOW,1,15,2.M,,0.0084,6,,,,4.7,3,0,0,6,6,59.89304813,0.013300235,0.005309287,0.000754767,0.026878266,0.025500954,0.026419162,8.1,0.017,0.02,0.037,,,,
6,MB,A1,none,LOW,1,15,2.M,,0.07014,46,,,,10.1,3,2.772588722,15,12,27,75.50424259,0.156883465,0.023162315,0.00159043,0.211356122,0.411440376,0.278050874,29.2,0.277,0.167,0.444,,,,
6,MB,A7,none,LOW,1,15,2.M,,0.01008,8,,,,10.5,3,0,0,6,6,66.06849636,0.057956288,0.010929513,0.00326851,0.051474481,0.113303485,0.072084149,14.6,0.052,0.024,0.076,,,,
6,MB,A9,none,LOW,1,15,2.M,,0.04494,30,,,,10.4,3,2.48490665,11,11,22,72.24268538,0.134709416,0.022113181,0.004241147,0.191213975,0.355885206,0.246104385,29.4,0.214,0.107,0.321,,,,
6,MB,B5,n2,Interrmediate,3,15,2.M,F,0.01974,21,,,,8.9,3,1.945910149,6,10,16,53.13653137,0.036643506,0.021264637,0.00452389,0.171534741,0.14505852,0.162709334,24.2,0.088,0.047,0.135,,,,
6,MB,B5,n1,Interrmediate,3,15,2.M,,0.00378,5,,,,3.5,3,0,0,6,6,51.37362637,0.008077813,0.002269799,0.002890263,0.009079195,0.018162317,0.012106902,10,0.014,0.009,0.023,,,,
6,MB,B5,n3,Interrmediate,3,15,2.M,LF,0.00336,5,,,,4.6,3,0,0,6,6,57.69230769,0.004156324,0.000687066,0.000942477,0.006412614,0.009517761,0.007447663,11.2,0.009,0.008,0.017,,,,
